player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Cam Talbot,G,1450000,2013-14,0.0731,69000000,51000000,525000,NYR,21.0,33.0,45.31,12.3,0.61,0.968,0.955,0.012,0.941,1.64,2.25,0.61,2.05,1210.0,0.033,0.038,-0.005,116.0,130.08,-14.08,-0.03,527.0,984.0,0.18710000000000002,0.5506,0.5516,-0.0009,0.98,0.971,0.009,0.895,0.876,0.019,0.816,0.704,0.111,12.0
Ilya Bryzgalov,G,2880000,2013-14,0.0731,69000000,51000000,525000,MIN,32.0,81.0,82.81,1.8,0.06,0.953,0.952,0.001,0.909,2.68,2.74,0.06,0.3,1814.0,0.036,0.039,-0.003,199.0,204.77,-5.77,-0.01,810.0,1633.0,0.20129999999999998,0.5197999999999999,0.534,-0.014199999999999999,0.971,0.972,-0.001,0.908,0.88,0.028,0.608,0.661,-0.053,11.0
Martin Brodeur,G,700000,2013-14,0.0731,69000000,51000000,525000,NJD,39.0,96.0,77.77,-18.2,-0.475,0.942,0.953,-0.011,0.901,2.51,2.03,-0.48,-3.04,2296.0,0.034,0.038,-0.004,191.0,209.36,-18.36,-0.02,875.0,1561.0,0.1833,0.586,0.5607,0.0253,0.951,0.972,-0.021,0.904,0.879,0.025,0.615,0.656,-0.041,21.0
Sergei Bobrovsky,G,7425000,2013-14,0.0731,69000000,51000000,525000,CBJ,58.0,131.0,124.79,-6.2,-0.113,0.956,0.958,-0.002,0.923,2.38,2.27,-0.11,-1.03,3299.0,0.037,0.039,-0.002,324.0,369.07,-45.07,-0.03,1568.0,2826.0,0.19519999999999998,0.5746,0.5413,0.0333,0.971,0.973,-0.002,0.884,0.88,0.004,0.616,0.657,-0.041,14.0
Antti Niemi,G,4500000,2014-15,0.0348,71400000,52800000,575000,SJS,61.0,155.0,165.46,10.5,0.177,0.956,0.953,0.003,0.914,2.61,2.78,0.18,1.74,3567.0,0.041,0.038,0.003,463.0,421.91,41.09,0.02,1656.0,3331.0,0.21059999999999998,0.5195000000000001,0.5278,-0.0083,0.976,0.972,0.004,0.87,0.878,-0.007,0.705,0.672,0.032,23.0
Devan Dubnyk,G,4333333,2014-15,0.0348,71400000,52800000,575000,MIN,58.0,115.0,135.76,20.8,0.378,0.964,0.957,0.007,0.929,2.09,2.47,0.38,3.46,3303.0,0.034,0.037,-0.003,405.0,377.85,27.15,0.02,1510.0,3068.0,0.2177,0.5105,0.5171,-0.006500000000000001,0.978,0.972,0.006,0.897,0.882,0.016,0.696,0.669,0.027,11.0
Curtis McElhinney,G,800000,2014-15,0.0348,71400000,52800000,575000,CBJ,32.0,82.0,80.29,-1.7,-0.06,0.951,0.952,-0.001,0.914,2.88,2.82,-0.06,-0.28,1710.0,0.043,0.04,0.004,199.0,208.73,-9.73,-0.01,867.0,1587.0,0.19140000000000001,0.5686,0.5468999999999999,0.0217,0.971,0.972,-0.0,0.888,0.882,0.007,0.644,0.686,-0.042,22.0
Philipp Grubauer,G,750000,2013-14,0.0731,69000000,51000000,525000,WSH,17.0,35.0,36.9,1.9,0.129,0.96,0.957,0.002,0.925,2.38,2.51,0.13,0.32,883.0,0.036,0.038,-0.002,119.0,108.97,10.03,0.02,434.0,832.0,0.20170000000000002,0.5409,0.5335,0.0075,0.973,0.972,0.002,0.884,0.879,0.005,0.706,0.687,0.019,17.0
Braden Holtby,G,6100000,2014-15,0.0348,71400000,52800000,575000,WSH,73.0,157.0,175.45,18.4,0.261,0.96,0.955,0.005,0.923,2.23,2.49,0.26,3.07,4227.0,0.033,0.038,-0.005,537.0,463.09,73.91,0.04,1887.0,3773.0,0.21539999999999998,0.5201,0.5219,-0.0018,0.97,0.972,-0.002,0.928,0.88,0.047,0.662,0.685,-0.023,10.0
Jake Allen,G,2350000,2014-15,0.0348,71400000,52800000,575000,STL,37.0,79.0,79.64,0.6,0.017,0.955,0.955,0.0,0.913,2.28,2.3,0.02,0.11,2076.0,0.038,0.037,0.001,242.0,211.61,30.39,0.03,830.0,1692.0,0.2188,0.5133,0.5204,-0.0072,0.965,0.971,-0.006,0.886,0.883,0.004,0.74,0.665,0.074,4.0
